msg_index,content,features_finder_index,next_selectors,keyboard_id,language_type_id,language_id,next_content_type
1,START,1,1,1,1,1,text
2,"Hi {name}, I\'m {bot_name} \n What is it about {problem} that is making you feel stressed?",1,2,1,1,1,text
3,I see how that can be stressful \n I want you to take a couple minutes and think about at least one positive aspect about your situation \n  Then share it with me,2,2,1,1,1,text
4,I\'m sorry \n  I want you to try something \n  Take a couple minutes and think about at least one positive aspect about your situation \n  Share it with me when you’re done,2,2,1,1,1,text
5,Good job finding a positive aspect! \n  Is there another positive aspect  you can find in your situation?,2,6,1,1,1,text
6,Great! \n  Do you think there is another positive aspect you can find in your situation?,2,6,1,1,1,text
7,That\'s ok! You found some positive to the situation,6,2,1,1,1,text
8,That\'s alright you did find one positive which is really good,6,2,1,1,1,text
9,"Wonderful! See, you can usually find positives even when in the most negative of situations",7,2,1,1,1,text
10,Awesome you\'re a great positive thinker!!,7,2,1,1,1,text
11,"Positive thinking can be a good way to destress, making it easier to face challenges \n  Sounds good?",2,1,1,1,1,text
12,When you\'re feeling down about a situation \n  trying to find the positives can make it easier to handle  \n  Sounds good?,2,1,1,1,1,text
13,"Do you think this conversation has helped you to reduce stress? Almost no help, neutral or very helpful?",1,1,4,1,1,text
14,Thank you for sharing with me. I hope I\'ve been able to help \n  Have a nice day! \n  ---The conversation has ended. Say \Hi\ when you need us---,1,1,1,1,1,text
